,case_order,cust_id,interaction_id,city,state,county,zip,latitude,longitude,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_wk,email_contact_yr,support_reqs_total,equip_failure_yr,cust_is_techie,contract_term,portable_modem,tablet,internet_service,phone_service,multi_ph_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_bill,pay_method,tenure,monthly_charge,bandwidth_gb_yr,surv_timely_resp,surv_timely_fix,surv_timely_replace,surv_reliability,surv_options,surv_respectful,surv_courteous,surv_active_listening,zscore_income,zscore_support_reqs,zscore_equip_fail
46,47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,1.0,23.0,Associate's Degree,Retired,132116.0,Divorced,Male,Yes,12.60910718,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.0,185.0719404,2385.0,4,4,5,2,2,4,3,3,3.6144685001748944,,
130,131,X645702,cfc79a87-f608-485d-86c9-cfce7db37a29,Dennison,OH,Tuscarawas,44621,40.42752,-81.29587,4476,Rural,America/New_York,Corporate investment banker,0.0,47.0,Regular High School Diploma,Full Time,125815.0,Divorced,Female,Yes,39.69685071,10,0,1,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Mailed Check,6.0,168.9164634,1162.0,3,3,4,2,4,4,3,2,3.367423109931549,,
186,187,F501848,b47490b5-a967-4f46-a76a-600552c4d141,Beckville,TX,Panola,75631,32.24926,-94.45456,3151,Suburban,America/Chicago,"Journalist, broadcasting",8.0,78.0,Regular High School Diploma,Full Time,135728.0,Separated,Male,No,10.83533213,14,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Mailed Check,8.0,107.2768979,1468.0,3,3,3,3,5,2,4,3,3.75608537837819,,
243,244,O226386,edafd41b-4e98-4a47-9c0e-c789a8b431b2,Mcdonald,NM,Lea,88262,33.13287,-103.42588,13,Rural,America/Denver,"Secretary, company",1.0,71.0,Bachelor's Degree,Unemployed,118022.0,Widowed,Male,Yes,34.94906329,11,2,0,Yes,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,14.0,181.3208115,1948.0,4,3,3,3,3,2,3,2,3.061880382401571,,
293,294,O167724,12442323-6949-4d40-9175-b409731ed1f5,Waynesboro,PA,Franklin,17268,39.77564,-77.57384,29426,Urban,America/New_York,"Engineer, manufacturing",0.0,53.0,Regular High School Diploma,Retired,123763.0,Divorced,Male,Yes,8.099458727,10,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),4.0,138.3569119,665.0,6,5,5,4,2,4,5,3,3.2869696674971185,,
322,323,H691053,9b0f073f-ac34-4245-8ce8-b26207acb2c7,Black Creek,NY,Allegany,14714,42.28999,-78.23324,582,Suburban,America/New_York,Tax adviser,1.0,78.0,Bachelor's Degree,Full Time,119969.0,Divorced,Female,Yes,8.697049506,7,3,0,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Credit Card (automatic),15.0,184.6885585,1565.0,4,3,4,4,3,4,3,5,3.138217055120789,,
353,354,F858862,63f8d459-3043-4942-8e82-4c8b1d4e0c47,Clive,IA,Polk,50325,41.61465,-93.79822,17007,Rural,America/Chicago,Geoscientist,0.0,68.0,"9th Grade to 12th Grade, No Diploma",Full Time,122264.0,Never Married,Female,Yes,14.27365908,15,2,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),8.0,161.8339124,863.0,5,2,4,3,3,4,3,3,3.2281978788961383,,
441,442,O403114,02c9c4a2-6875-44cb-b83c-f90239b09c4c,Sumter,SC,Sumter,29150,33.87552,-80.35447,39616,Rural,America/New_York,"Scientist, physiological",2.0,48.0,Nursery School to 8th Grade,Retired,119965.0,Never Married,Female,No,12.63904716,16,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,9.0,126.717048,1387.0,3,4,5,2,4,3,3,3,3.138060225798305,,
470,471,Q585011,e018df7d-ad42-41c7-9971-75ddf0a3f9ee,Saint Marie,MT,Valley,59231,48.39806,-106.54796,489,Rural,America/Denver,"Surveyor, land/geomatics",2.0,52.0,Master's Degree,Retired,156741.0,Married,Male,Yes,13.23416842,13,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,No,Bank Transfer(automatic),1.0,192.2164178,500.0,3,4,4,3,4,3,2,3,4.579949016718679,,
511,512,X286988,9fb14b9f-a39c-48bc-9cdf-3cad65435793,Ardmore,TN,Giles,38449,35.0482,-86.82587,2494,Urban,America/Chicago,Occupational hygienist,1.0,58.0,"9th Grade to 12th Grade, No Diploma",Full Time,146495.0,Separated,Male,No,8.749000467,14,2,0,No,One year,No,No,DSL,Yes,No,No,No,No,No,No,No,No,Credit Card (automatic),9.0,91.94775013,1216.0,3,3,3,3,4,4,3,4,4.1782307071752225,,
